unique_id,category,variation,nice_name,artist,mafia_name,twitter,instagram,filename paste,file,inches,inch_variance,radius_max,serving_min,serving_max,pie_count,layer
4284,topping-meat,roastbeef,Synthetic AI Roast Beef,Sebastian K.,,,,4284-topping-meat-roastbeef,Y,3,,,,,,
4285,topping-meat,roastbeef,Synthetic AI Roast Beef,Sebastian K.,,,,4285-topping-meat-roastbeef,Y,3,,,,,,
4280,topping-meat,,Owl,Hawkward,,,,4280-topping-meat-,N,,,,,,,
4290,topping-meat,,Owl Pellet,Big Larko,,,,4290-topping-meat-,N,,,,,,,
4300,topping-meat,,Doves,Bomani X,,,,4300-topping-meat-,N,,,,,,,
4310,topping-meat,froglegs,Frog Legs,Darko,,,,4310-topping-meat-froglegs,Y,3,,,,,,
4311,topping-meat,froglegs,Frog Legs,Darko,,,,4311-topping-meat-froglegs,Y,3,,,,,,
4312,topping-meat,froglegs,Frog Legs,Darko,,,,4312-topping-meat-froglegs,Y,3,,,,,,
4320,topping-meat,,Reindeer,@Wdidriksson,,,,4320-topping-meat-,N,,,,,,,
4330,topping-meat,,Meat Sticks,Asteria,,,,4330-topping-meat-,N,,,,,,,
4340,topping-meat,,Smoked Turkey,Emmanuel Okoye,,,,4340-topping-meat-,N,,,,,,,
4350,topping-meat,,Jerk Chicken,Luke Beckford,,,,4350-topping-meat-,N,,,,,,,
4360,topping-meat,,Zombie,dada.art,,,,4360-topping-meat-,N,,,,,,,
4370,topping-meat,oxtail,Oxtail,Anthony Sijuade Omishade Ankanbi,,,,4370-topping-meat-oxtail,Y,3,,,,,,
4371,topping-meat,oxtail,Oxtail,Anthony Sijuade Omishade Ankanbi,,,,4371-topping-meat-oxtail,Y,3,,,,,,
4372,topping-meat,oxtail,Oxtail,Anthony Sijuade Omishade Ankanbi,,,,4372-topping-meat-oxtail,Y,3,,,,,,
4380,topping-meat,,Pizza Rat,Jacklyn Atkinson,,,,4380-topping-meat-,N,,,,,,,
5000,topping-fruit,tomato,Tomato,David Horvath & Sun-Min,,,,5000-topping-fruit-tomato,N,,,,,,,
5010,topping-fruit,greenpapaya,Green Papaya,Ham,,,,5010-topping-fruit-greenpapaya,N,,,,,,,
5020,topping-fruit,pineapple,Pineapple,reserved for MEME,,,,5020-topping-fruit-pineapple,N,,,,,,,
5030,topping-fruit,olives,Black Olives,Ciara Bourne,,,,5030-topping-fruit-olives,N,,,,,,,
5050,topping-fruit,watermelon,Watermelon,TDogNasty,,,,5050-topping-fruit-watermelon,Y,3,,,,,,
5051,topping-fruit,watermelon,Watermelon,TDogNasty,,,,5051-topping-fruit-watermelon,Y,3,,,,,,
